CPU_Usage,Memory_Usage,Bytes_Sent,Bytes_Recv,XMRig_Running
5.6,64.4,3655047,90800726,0
3.4,64.4,3655047,90800726,0
3.4,64.4,3655047,90800726,0
6.7,64.4,3655047,90800726,0
2.3,64.4,3655047,90800726,0
2.2,64.4,3655047,90800726,0
4.4,64.4,3655047,90800726,0
3.4,64.6,3655047,90800726,0
2.2,64.6,3655047,90800726,0
3.4,64.6,3655047,90800726,0
4.4,64.6,3655047,90800726,0
2.2,64.6,3655047,90800726,0
4.5,64.6,3655047,90800726,0
3.4,64.6,3655047,90800726,0
35.4,68.6,3658298,90812356,0
1.1,67.9,3658298,90812356,0
3.4,67.2,3658298,90812356,0
4.6,67.2,3658298,90812356,0
3.4,67.2,3658298,90812356,0
3.5,67.2,3658298,90812356,0
4.5,67.2,3658298,90812356,0
2.2,67.2,3658298,90812356,0
4.6,67.2,3658298,90812356,0
4.5,67.2,3658298,90812356,0
3.4,67.2,3658298,90812356,0
3.4,67.2,3658298,90812356,0
5.8,67.2,3658298,90812356,0
4.8,67.2,3658298,90812356,0
3.4,67.3,3658298,90812356,0
9.9,67.3,3658298,90812356,0
4.9,67.3,3658298,90812356,0
3.3,67.3,3658298,90812356,0
4.5,67.3,3658298,90812356,0
3.4,67.3,3658298,90812356,0
2.2,67.3,3658298,90812356,0
3.4,67.3,3658298,90812356,0
4.7,67.4,3658298,90812356,0
2.2,67.4,3658298,90812356,0
3.4,67.4,3658298,90812356,0
3.4,67.4,3658298,90812356,0
5.7,67.4,3658298,90812356,0
3.3,67.4,3658298,90812356,0
5.7,67.4,3658298,90812356,0
4.5,67.4,3658298,90812356,0
8.4,67.4,3658298,90812356,0
4.5,67.4,3658298,90812356,0
4.7,67.4,3658298,90812356,0
2.2,67.4,3658298,90812356,0
3.6,67.4,3658298,90812356,0
2.4,67.4,3658298,90812356,0
3.3,67.4,3658298,90812356,0
5.6,67.4,3658298,90812356,0
3.4,67.4,3658298,90812356,0
4.5,67.4,3658298,90812356,0
2.2,67.4,3658298,90812356,0
4.5,67.4,3658298,90812356,0
4.6,67.4,3658298,90812356,0
2.2,67.4,3658298,90812356,0
5.9,67.4,3658298,90812356,0
3.4,67.4,3658298,90812356,0
2.2,67.2,3658298,90812356,0
3.5,67.2,3658298,90812356,0
3.4,67.2,3658298,90812356,0
2.2,67.2,3658298,90812356,0
3.4,67.2,3658298,90812356,0
3.5,67.2,3658298,90812356,0
2.3,67.2,3658298,90812356,0
3.5,67.2,3658298,90812356,0
5.7,67.2,3658298,90812356,0
3.4,67.2,3658298,90812356,0
2.2,67.2,3658298,90812356,0
3.4,67.2,3658298,90812356,0
4.6,67.2,3658298,90812356,0
